№	Context	Dominant response	Number of completions	Ommitted completions or no completion	Number of unique responses	Alternative completions	Percentage of ending agreement %EA	H-statistic	Frequency (ipm)	Number of syllables	ART	ART'
103	Туристы восхищались живописной	картиной	84	2	21	картиной 27, природой 26, местностью 9, долиной 2, рекой 2, панорамой 2, площадью 2, картитной 1, травой 1, амбразурой 1, галереей 1, доминой 1, равниной 1, окрестностью 1, фауной 1, статуей 1, скалой 1, улицой 1, архитектурой 1, церковью 1, обстановкой 1	32.142857	2.974190	183.9	3	2320.083333	2136.261905
104	Девушка надела бордовые	туфли	86	0	27	туфли 13, штаны 11, колготки 8, сапоги 7, босоножки 5, лосины 5, брюки 5, леггинсы 4, чулки 4, перчатки 3, джинсы 3, кроссовки 2, ботинки 2, кольца 1, босонжки 1, балетки 1, варежки 1, ботфорты 1, лабутены 1, шлепанцы 1, гольфы 1, трусы 1, гетры 1, трусишки 1, стринги 1, лодочки 1, галоши 1	15.116279	4.168711	23.2	2	2270.744186	2142.197674
105	Дошкольник взял фломастер и нарисовал оранжевый	круг	86	0	27	круг 44, апельсин 9, цветок 5, шар 3, дом 2, вертолет 2, пезаж 1, шарик 1, стол 1, предмет 1, - 1, песок 1, взрыв 1, поезд 1, шарф 1, самокат 1, автобус 1, мир 1, квадрат 1, портрет 1, цветочек 1, велосипед 1, треугольник 1, верблюд 1, сарай 1, номер 1, букет 1	51.162791	3.064534	157.4	1	2093.302326	1925.034884
106	Сестра волновалась перед важным	экзаменом	86	0	19	экзаменом 39, событием 12, собеседованием 11, выступлением 3, свиданием 3, совещанием 3, собранием 2, мероприятием 2, занятием 1, зачетом 1, шагом 1, экзамен 1, делом 1, экспериментом 1, днем 1, экзамном 1, интервью 1, зачета 1, дедлайном 1	45.348837	2.874304	45.4	4	1487.546512	1406.302326
107	Из шкафа мама достала старую	шубу	86	0	35	одежду 10, шубу 10, книгу 7, шаль 6, посуду 5, кофту 4, куртку 4, куклу 3, вазу 3, фотографию 2, юбку 2, скатерть 2, книжку 2, игрушку 2, вещь 2, шкатулку 2, шапку 2, надежду 1, коробку 1, кровать 1, копилку 1, пижаму 1, занавеску 1, бабушку 1, столешницу 1, балалайку 1, простыню 1, клеенку 1, рухлядь 1, шинель 1, шляпу 1, картину 1, блузку 1, пластинку 1, футболку 1	11.627907	4.627204	18.7	2	2133.779070	2014.697674
108	Вернувшись в офис после отпуска, секретарша заметила новый	стол	86	0	32	стол 23, компьютер 8, принтер 5, цветок 5, шкаф 5, стул 3, диван 3, предмет 2, интерьер 2, календарь 2, ноутбук 2, телефон 2, сервиз 2, ковер 2, холодильник 2, телевизор 2, портфель 1, распорядок дня 1, поршень 1, рабочий стол 1, кулер 1, кондиционер 1, аппарат 1, комод 1, телефизор 1, офис 1, стенд 1, плакат 1, планшет 1, замок 1, торшер 1, прибор 1	26.744186	4.212537	402.5	1	2479.023256	2323.069767
109	На кухне дочка доедает вкусный	пирог	86	0	16	пирог 34, торт 17, обед 7, суп 5, десерт 4, борщ 4, салат 3, ужин 3, тортик 2, пудинг 1, чизкейк 1, омлет 1, носок 1, эклеры 1, чай 1, маффин 1	39.534884	2.923573	16.3	2	1642.546512	1485.127907
110	Прохожие еле разминулись на узкой	тропинке	86	0	7	тропинке 46, улице 13, дороге 10, улочке 7, дорожке 5, тропе 4, трубке 1	53.488372	2.069637	15.5	3	1620.232558	1450.581395
111	В киоске продавались сувениры из светло-серой	глины	85	1	21	глины 23, бумаги 15, ткани 13, кожи 5, шерсти 3, стали 3, керамики 3, пряжи 3, материи 3, пластмассы 2, бумаге 2, массы 1, коллекции 1, курамики 1, замши 1, — 1, пластелины 1, газеты 1, глазури 1, пластелина 1, фланели 1	27.058824	3.466625	18.4	2	3148.282353	2991.070588
112	Ассистент обратился за помощью к своей	начальнице	85	1	33	начальнице 14, помощнице 10, руководительнице 6, подруге 6, секретарше 5, маме 4, бабушке 4, преподавательнице 3, знакомой 3, жене 2, соседке 2, матери 2, студентке 2, коллеге 2, сестре 2, учительнице 1, одногруппнице 1, наставнице 1, ассистентке 1, научнице 1, лаборантке 1, ассистентше 1, сотруднице 1, медсестре 1, адъютантке 1, подручной 1, коллеги 1, любовнице 1, научной руководительнице 1, напарнице 1, тете 1, практикантке 1, подассистентке 1	16.470588	4.448671	4.3	4	2534.058824	2343.717647
113	Лектор увлечённо рассказывал о недавнем	происшествии	86	0	21	происшествии 21, событии 18, случае 11, проишествии 5, открытии 4, инциденте 3, эксперименте 3, экзамене 3, приключении 2, мероприятии 2, опыте 2, путешествии 2, походе 2, теракте 1, сви/свидании 1, посещении 1, прошлом 1, событи 1, петешествии 1, споре 1, диспуте 1	24.418605	3.528295	23.6	5	2086.953488	1933.953488
114	Андрей устал нести тяжёлый	груз	85	1	18	груз 19, рюкзак 18, пакет 14, чемодан 13, портфель 6, мешок 2, - 2, ранец 1, бред 1, компьютер 1, ящик 1, поединок 1, сумку 1, крест 1, груз бытия 1, багаж 1, ананас 1, шкаф 1	22.352941	3.154241	45.7	1	1730.976471	1612.000000
115	Грабители украли из квартиры ценный	предмет	85	1	35	предмет 16, телевизор 7, экспонат 6, груз 6, артефакт 5, товар 4, подарок 4, антиквариат 4, материал 3, сервиз 3, сувенир 2, шкаф 2, сундук 1, чемодан 1, кошелек 1, компьютер 1, абажаур 1, браслет 1, сейф 1, объект 1, диван 1, стул 1, сервис 1, магнитофон 1, перстень 1, - 1, сервант 1, документ 1, кирпич 1, амулет 1, металл 1, ключ 1, альбом 1, башмак 1, вещи 1	18.823529	4.482444	154.4	2	2696.964706	2572.988235
116	Моя крестница живёт прямо напротив местного	магазина	85	1	47	магазина 14, театра 5, музея 5, супермаркета 3, общежития 3, дома 3, кладбища 3, бара 3, храма 2, собора 2, рынка 2, зоопарка 2, клуба 2, банка 2, борделя 2, почтальона 1, училища 1, почтамта 1, райцентра 1, кинотеатра 1, отеля 1, удара 1, детсада 1, - 1, приюта 1, самоуправления 1, универсама 1, домоправления 1, парткома 1, медпункта 1, ЖЭКа 1, отдела полиции 1, ДК 1, цирка 1, дворца 1, драмтеатра 1, роддома 1, адвоката 1, участка 1, госпиталя 1, ресторана 1, домоуправления 1, двора 1, катка 1, универмага 1, ларька 1, мвд 1	16.470588	5.064724	147.2	4	2663.352941	2573.882353
117	Ирина зашла на вещевой рынок и купила недорогую	сумку	86	0	28	сумку 14, кофту 8, одежду 7, юбку 6, блузку 6, вещь 6, обувь 4, футболку 4, шубу 4, посуду 3, куртку 3, шаль 2, вазу 2, шапку 2, ткань 2, утварь 1, сумочку 1, шляпку 1, дубленку 1, книгу 1, картошку 1, брошь 1, кофточку 1, - 1, шинель 1, мебель 1, вещицу 1, шмотку 1	16.279070	4.275177	55.5	2	2386.093023	2224.674419
118	Парижанин с гостьей гуляли по окрестным	улицам	85	1	30	улицам 21, улочкам 9, местам 8, достопримечательностям 5, паркам 5, полям 4, местностям 3, дворам 3, деревням 3, дорогам 2, городам 2, барам 2, домам 1, селам 1, предместьям 1, садам 1, окрестностям 1, площадям 1, задворкам 1, кварталам 1, улицам Лондона 1, дворикам 1, областям 1, лугам 1, аррондисманам 1, районам 1, лесам 1, кабакам 1, окраинам 1, набережным 1	24.705882	4.100545	337.8	3	2518.729412	2366.258824
119	Анна обожала посещать субботние	вечера	86	0	21	вечера 21, концерты 12, вечеринки 10, мероприятия 8, дискотеки 7, встречи 4, танцы 4, выставки 3, лекции 3, заседания 2, утренники 2, тренировки 1, поезда 1, представления 1, треннинги 1, тренинги 1, митинги 1, гитарники 1, пары 1, спектакли 1, службы 1	24.418605	3.616512	335.4	3	2303.162791	2153.697674
120	Всю жизнь дедушка собирал антикварные	вещи	86	0	30	вещи 24, предметы 9, часы 7, монеты 7, украшения 5, марки 4, ложки 3, книги 3, вещицы 2, статуэтки 2, чаши 1, лампы 1, расчески 1, кружки 1, серьги 1, самогонные аппараты 1, ручки 1, маски 1, столики 1, вазы 1, машинки 1, шкатулки 1, стаканы 1, столовые приборы 1, машины 1, бабушки 1, наперстки 1, приборы столовые 1, штуки 1, зажигалки 1	27.906977	3.972883	242.5	2	2616.151163	2511.965116
