№	Context	Dominant response	Number of completions	Ommitted completions or no completion	Number of unique responses	Alternative completions	Percentage of ending agreement %EA	H-statistic	Frequency (ipm)	Number of syllables	ART	ART'
57	Девушка вплела в волосы	ленту	84	2	21	ленту 27, цветок 14, цветы 11, ленты 6, ленточку 4, заколку 3, венок 2, резинку 2, косу 2, ленточки 2, косичку 1, тесьму 1, бантики 1, змею 1, фен 1, чудой локон 1, нитки 1, солому 1, бусы 1, ромашку 1, пряди 1	32.142857	3.344659	35.9	2	2028.845238	1887.630952
58	Соседка одолжила у меня	соль	86	0	31	соль 31, деньги 14, денег 7, сахар 4, ключи 2, фен 2, телефон 2, платье 1, фен  1, марки 1, фломастер 1, нож 1, соли 1, блокнот 1, кастрюлю 1, кружку 1, рубль 1, кофточку 1, шприц 1, сто рублей 1, муку 1, карандаш 1, велосипед 1, градусник 1, пенал 1, часы 1, биту 1, стул 1, сигареты 1, электрочайник 1, зубную пасту 1	36.046512	3.629352	39.4	1	1904.383721	1739.255814
59	Посетитель вошёл и робко сел на	стул	86	0	14	стул 49, диван 13, скамейку 6, кушетку 3, кресло 3, краешек стула 2, табурет 2, банкетку 2, - 1, подоконник 1, лавочку 1, колени 1, лестнице 1, стол 1	56.976744	2.307125	87.6	1	1353.546512	1272.104651
60	Учитель искренне похвалил	ученика	86	0	23	ученика 46, ученицу 6, работу 4, учеников 4, студента 4, меня 4, - 2, себя 1, Васю 1, подчиненную 1, студентку 1, жену 1, другого 1, Валеру 1, маму 1, своего ассистента 1, мальчика 1, школьника 1, маму ученика 1, своего ученика 1, хулигана 1, воспитанника 1, за хорошую работу 1	53.488372	2.896106	80.4	4	1862.348837	1706.825581
61	После обеда Ваня допил вишнёвый	сок	86	0	8	сок 39, компот 31, морс 6, сидр 3, сироп 3, коктейль 2, кисель 1, чай 1	45.348837	1.929401	35.8	1	1600.255814	1517.406977
62	Тётушка распускала старомодную	кофту	85	1	32	кофту 15, прическу 11, шаль 10, косу 9, юбку 5, шутку 4, пряжу 2, сплетню 2, одежду 2, болтовню 2, байку 2, платье 1, безрукавку 1, сумочку 1, штору 1, песню 1, шевелюру 1, тюль 1, скатерть 1, газету 1, плесень 1, жилетку 1, - 1, вещь 1, шляпу 1, вязь 1, вышивку 1, герань 1, сумку 1, выдумку 1, лампу 1, речь 1	17.647059	4.197446	7.7	2	3247.552941	3041.247059
63	Продавец доверху наполнил пластиковый	стакан	86	0	9	стакан 37, пакет 31, контейнер 7, стаканчик 5, мешок 2, паекет 1, сосуд 1, башмак 1, горшок 1	43.023256	2.012416	72.8	2	1893.883721	1763.581395
64	После еды сержант облизал походную	ложку	86	0	16	ложку 52, тарелку 7, миску 6, вилку 4, кастрюлю 3, кружку 2, чашку 2, форму 2, руку 1, флягу 1, посуду 1, рубашку 1, женщину 1, палатку 1, трубку 1, кровать 1	60.465116	2.352555	40.5	2	2369.511628	2214.209302
65	Перед выходом девочка надела шерстяные	носки	86	0	12	носки 62, варежки 9, колготки 4, чулки 2, перчатки 2, рейтузы 1, трусы 1, Носки 1, тапочки 1, носочки 1, гольфики 1, гольфы 1	72.093023	1.662433	25.2	2	1681.534884	1558.383721
66	Бабушка замёрзла и закуталась в тёплый	плед	86	0	14	плед 53, шарф 13, платок 7, свитер 2, пиджак 2, кафтан 1, кошелек 1, халат 1, пододеяльник 1, кардиган 1, спальник 1, саван 1, мех 1, пуховик 1	61.627907	2.061881	4.8	1	1606.046512	1391.569767
67	Сестра купила в посудном магазине фарфоровую	чашку	86	0	16	чашку 37, вазу 9, тарелку 8, статуэтку 7, куклу 7, посуду 4, чашу 3, кружку 3, лампу; чашку 1, утварь 1, салатницу 1, шляпу 1, статую 1, игрушку 1, чашечку 1, супницу 1	43.023256	2.913569	33.3	2	2017.058140	1908.279070
68	Бывшие коллеги вспоминают друг друга с горькой	усмешкой	86	0	23	усмешкой 15, тоской 9, досадой 8, обидой 8, улыбкой 7, радостью 6, правдой 4, ненавистью 4, печалью 4, ухмылкой 3, ностальгией 3, иронией 2, слезой 2, грустью 2, совестью 1, сожалением/правдой 1, ноткой 1, теплотой 1, завистью 1, участью 1, усталостью 1, болью 1, слезинкой 1	17.441860	3.986687	13.2	3	2970.267442	2830.197674
69	Маша связала свитер из тёплой	шерсти	86	0	6	шерсти 70, пряжи 10, ткани 3, шерсть альпаки как называется?  1, пряди 1, козы 1	81.395349	0.995753	16.9	2	1846.290698	1733.093023
70	В пути пассажир читал увлекательную	книгу	85	1	13	книгу 45, газету 11, историю 10, книжку 6, повесть 3, поэму 2, пьесу 2, - 1, литературу 1, заметку 1, брошюру 1, — 1, карикатуру 1	52.941176	2.377966	413.9	2	1732.847059	1639.705882
71	Графиня прятала записку в деревянном	ящике	86	0	20	ящике 23, сундуке 21, шкафу 17, комоде 4, сундучке 3, ларце 3, столе 2, ларчике 1, секретере 1, коробке 1, саркофаге 1, шкатуле; дупле 1, брелке 1, поддоне 1, шкафчике 1, саквояже 1, башмаке 1, сарае 1, сейфе 1, чехле 1	26.744186	3.109088	75.4	3	2126.883721	1963.720930
72	Первоклассник украшал ёлку яркими	игрушками	86	0	15	игрушками 27, шарами 17, гирляндами 16, шариками 13, фонариками 3, словами 1, камнями 1, огнями 1, лентами 1, огоньками 1, звездами 1, звездочками 1, снежинками 1, бантами 1, красками 1	31.395349	2.766620	30.9	4	1815.104651	1699.779070
73	Музыкант играл на старинной	скрипке	86	0	16	скрипке 30, гитаре 13, флейте 10, арфе 9, трубе 5, виолончели 5, гармошке 3, лютне 2, балалайке 2, - 1, цитэ 1, дуде 1, инструменте 1, срипке 1, шарманке 1, гармонике 1	34.883721	3.065390	18.4	2	1952.406977	1848.093023
74	В сентябре директор школы взял на работу нового 	учителя	86	0	19	учителя 25, сотрудника 22, преподавателя 16, педагога 4, уборщика 3, стажера 2, ученика 2, друга 1, трудовика 1, физрука 1, секретаря 1, заместителя 1, бегемота 1, программиста 1, ассистента 1, дворника 1, бухгалтера 1, сторожа 1, завуча 1	29.069767	2.996511	113.8	4	1514.011628	1372.697674
75	Школьники боялись заблудиться в незнакомом	месте	86	0	9	месте 40, лесу 25, городе 13, районе 3, замке 1, парке 1, лабиринте 1, доме 1, здании 1	46.511628	1.986333	926.6	2	1741.662791	1553.872093
76	Ровно в девять вечера бабушка ложится в тёплую	кровать	86	0	4	кровать 43, постель 35, ванну 5, кроватку 3	50.000000	1.435348	88.4	2	1556.813953	1458.046512
77	Зрители отзывались о пьесе с искренним	восторгом	86	0	18	восторгом 39, восхищением 15, удовольствием 7, удивлением 7, недоумением 3, сожалением 2, недовольством 2, удовольствтем 1, отвращением 1, неудовольствием 1, радушием 1, уважением 1, осхищением 1, чувством 1, отзывом 1, удовлетворением 1, интересом 1, изумлением 1	45.348837	2.789150	56.2	3	2117.011628	1929.918605
78	Мама увлечённо выращивала комнатные	растения	86	0	4	растения 62, цветы 22, растение 1, помидоры 1	72.093023	0.992920	94.4	4	1566.581395	1374.023256
79	За чаем друг рассказывал смешные	истории	85	1	3	истории 64, анекдоты 20, сказки 1	75.294118	0.874820	443.9	4	1416.858824	1271.976471
80	Девочка гладила пушистую	кошку	86	0	12	кошку 73, собаку 3, лошадь 1, варежку 1, шкуру 1, киску 1, жилетку 1, козу 1, лисичку 1, рубашку 1, мышку 1, подушку 1	84.883721	1.116822	50.4	2	1799.290698	1671.988372
