1	марку 79	марки 1	штемпель 1	две марки 1
2	темноте 79	ночи 5	комнате 1	ночь 1
3	свет 66	телевизор 9	торшер 2	лампу 2	лампадку 1	радиоприемник 1	радио 1	темноту 1	электричество 1	люстру 1	приемник 1
4	кулисы 68	занавес 7	сцену 4	ширму 2	кулису 1	стол 1	зановесь 1	кулисами 1
5	реке 73	горной реке 4	склону 2	Оке 1	озеру 1	течению реки 1	речке 1	реке Кура 1	реке Волге 1
6	стакан 42	чай 38	стакан чая 2	чашку 1	кружку 1	стакан с чаем 1
7	раковину 38	мойку 26	посудомойку 11	посудомоечную машину 4	шкаф 2	рукомойник 1	машину посудомоечную 1	мусор 1	стопку 1	умывальник 1
8	доске 84	плитке 1	потолке 1
9	посуду 78	кастрюлю 2	тарелки 1	ложку 1	пол 1	окно 1	полы 1
10	печь 73	печку 12
11	пластилина 55	глины 29
12	дверь 74	ставни 3	двери 3	окна 2	замок 1	окно 1	шторку 1	входную дверь 1
13	елку 77	елочку 2	новогоднюю елку 1	игрушками 1	квартиру 1	дом 1	стол 1	комнату 1
14	фена 84	утюга 1	духовки 1
15	шнурки 76	шнурок 6	шнурочки 1	кроссовки 1	узел 1	бантик 1
16	свечу 66	свечку 14	лампаду 2	свет 1	огонь 1	лампу 1
17	стол 72	столом 10	обед 1	столы 1	круглым столом 1	компьютер 1
18	аптеке 78	каплях 1	упаковке 1	лесу 1	магазине 1
19	ноги 69	ножки 6	ботинки 3	туфли 2	сандалии 1	сандали 1	руки 1	сапоги 1	живот 1	обувь 1
20	школу 83	детский сад 2	кружок 1
21	дерево 41	растение 18	цветы 13	растения 3	деревце 2	поле 1	кусты 1	деревья 1	клумбы 1	яблоко 1
22	велосипеде 79	самокате 4	тракторе 1	дереве 1	тренажере 1
23	карандаш 83	металл 1	мелок 1
24	раме 45	оправе 21	рамке 15	шкатулке 1	иллюстрацией 1	подставке 1	рамой 1	оправой 1
25	каблуках 85	шпильках 1
26	ошибку 74	оплошность 8	описку 2	промашку 1	оговорку 1
27	мнение 60	недовольство 8	неудовольствие 7	неодобрение 3	фе 2	пожелание 1	работникам 1	отвращение 1	негодование 1	отношение 1
28	языка 85	уха 1
29	школах 66	колледжах 5	гимназиях 3	заведениях 3	учреждениях 2	университетах 2	пансионатах 1	пансионах 1	учебных заведениях 1	вузах 1
30	песню 70	песенку 14	забавную песню 1
31	сок 84	напиток 1	отвар 1
32	голос 46	крик 20	плач 9	смех 7	разговор 1	визг 1	голосок 1	шепот 1
33	фильме 44	эпизоде 24	сериале 7	кино 6	клипе 1	ролике 1	эпизодике 1	водевиле 1	кинофильме 1
34	телевизор 64	фильм 6	сериал 6	компьютер 4	микрофон 1	магнитофон 1	канал 1	телефон 1
35	бульон 70	суп 14	бульончик 2
36	факультете 74	институте 4	отделении 3	университете 2	заводе 1	техникуме 1	ВУЗе 1
37	таблетки 47	лекарства 15	капли 14	пилюли 4	средства 3	микстуры 1	настои 1
38	невесте 77	подруге 2	соседке 1	будущей жене 1	возлюбленной 1	девушке 1	жене 1	любимой 1
39	ложкой 66	ложечкой 16	вилкой 2	кружке 1
40	письмо 79	послание 4	заявление 1
41	почту 48	газеты 18	письма 13	корреспонденцию 5	прессу 2
42	грядки 33	огород 19	грядку 10	траву 6	картошку 6	сорняки 3	морковку 2	морковь 2	клумбу 1	свой огород 1	капусту 1	снопы 1	лук 1
43	книгу 21	тетрадь 20	учебник 17	дневник 9	книжку 4	тетрадку 3	портфель 2	дверь 2	рот 2	учебники 1	ранец 1	свою тетрадь 1	парту 1	форточку 1	букварь 1
44	овцу 24	траву 18	овец 15	газон 5	овечку 3	травку 3	козу 2	цветы 2	овечек 1	ягненка 1	шерсть 1	барашку 1	кусты 1	барашка 1	козочку 1	мальчика 1	волосы 1	барана 1	ногти 1
45	стихотворение 33	стихи 28	стих 4	стихотворения 4	стишок 3	поэму 3	пьесу 2	стихотворние 1	поэмы 1	язык 1	тексты 1	вдохновение 1	французский 1	Пушкина 1
46	еды 37	сладкого 12	хлеба 4	ужина 4	пищи 4	пирожного 3	торта 3	сладостей 2	обеда 2	пирожных 2	жирного 2	котлет 1	десерта 1	сладкой пищи 1	мороженого 1	мучного 1	сахара 1	каши 1	блинов 1	роли 1	плюшек 1
47	премию 70	гонорар 4	зарплату 2	деньги 1	вознаграждение 1	премиальные 1	денежное вознаграждение 1	премии 1	примии 1	награждение 1	аванс 1
48	лыжах 53	коньках 22	санках 5	санях 3	катке 1	велосипеде 1
49	море 40	реке 14	озере 13	пруду 5	речке 5	бассейне 3	пансионате 1	сапогах 1	пляже 1	парке 1	месте 1	Серебряном бору 1
