1	марку 79	штемпель 1	марки 1	две марки 1
2	темноте 79	ночи 5	комнате 1	ночь 1
3	свет 66	телевизор 9	торшер 2	лампу 2	электричество 1	люстру 1	радиоприемник 1	темноту 1	лампадку 1	приемник 1	радио 1
4	кулисы 68	занавес 7	сцену 4	ширму 2	кулисами 1	кулису 1	зановесь 1	стол 1
5	реке 73	горной реке 4	склону 2	Оке 1	речке 1	течению реки 1	реке Волге 1	реке Кура 1	озеру 1
6	стакан 42	чай 38	стакан чая 2	чашку 1	стакан с чаем 1	кружку 1
7	раковину 38	мойку 26	посудомойку 11	посудомоечную машину 4	шкаф 2	машину посудомоечную 1	умывальник 1	стопку 1	рукомойник 1	мусор 1
8	доске 84	плитке 1	потолке 1
9	посуду 78	кастрюлю 2	тарелки 1	полы 1	ложку 1	окно 1	пол 1
10	печь 73	печку 12
11	пластилина 55	глины 29
12	дверь 74	двери 3	ставни 3	окна 2	входную дверь 1	шторку 1	окно 1	замок 1
13	елку 77	елочку 2	новогоднюю елку 1	квартиру 1	комнату 1	игрушками 1	дом 1	стол 1
14	фена 84	духовки 1	утюга 1
15	шнурки 76	шнурок 6	бантик 1	кроссовки 1	шнурочки 1	узел 1
16	свечу 66	свечку 14	лампаду 2	свет 1	лампу 1	огонь 1
17	стол 72	столом 10	компьютер 1	круглым столом 1	столы 1	обед 1
18	аптеке 78	упаковке 1	лесу 1	магазине 1	каплях 1
19	ноги 69	ножки 6	ботинки 3	туфли 2	руки 1	обувь 1	сапоги 1	сандали 1	сандалии 1	живот 1
20	школу 83	детский сад 2	кружок 1
21	дерево 41	растение 18	цветы 13	растения 3	деревце 2	деревья 1	яблоко 1	клумбы 1	кусты 1	поле 1
22	велосипеде 79	самокате 4	тракторе 1	дереве 1	тренажере 1
23	карандаш 83	металл 1	мелок 1
24	раме 45	оправе 21	рамке 15	оправой 1	иллюстрацией 1	шкатулке 1	подставке 1	рамой 1
25	каблуках 85	шпильках 1
26	ошибку 74	оплошность 8	описку 2	промашку 1	оговорку 1
27	мнение 60	недовольство 8	неудовольствие 7	неодобрение 3	фе 2	пожелание 1	отношение 1	отвращение 1	негодование 1	работникам 1
28	языка 85	уха 1
29	школах 66	колледжах 5	гимназиях 3	заведениях 3	университетах 2	учреждениях 2	пансионатах 1	пансионах 1	учебных заведениях 1	вузах 1
30	песню 70	песенку 14	забавную песню 1
31	сок 84	напиток 1	отвар 1
32	голос 46	крик 20	плач 9	смех 7	голосок 1	разговор 1	визг 1	шепот 1
33	фильме 44	эпизоде 24	сериале 7	кино 6	клипе 1	водевиле 1	кинофильме 1	эпизодике 1	ролике 1
34	телевизор 64	фильм 6	сериал 6	компьютер 4	микрофон 1	канал 1	магнитофон 1	телефон 1
35	бульон 70	суп 14	бульончик 2
36	факультете 74	институте 4	отделении 3	университете 2	заводе 1	ВУЗе 1	техникуме 1
37	таблетки 47	лекарства 15	капли 14	пилюли 4	средства 3	микстуры 1	настои 1
38	невесте 77	подруге 2	любимой 1	возлюбленной 1	соседке 1	будущей жене 1	жене 1	девушке 1
39	ложкой 66	ложечкой 16	вилкой 2	кружке 1
40	письмо 79	послание 4	заявление 1
41	почту 48	газеты 18	письма 13	корреспонденцию 5	прессу 2
42	грядки 33	огород 19	грядку 10	картошку 6	траву 6	сорняки 3	морковку 2	морковь 2	капусту 1	свой огород 1	клумбу 1	лук 1	снопы 1
43	книгу 21	тетрадь 20	учебник 17	дневник 9	книжку 4	тетрадку 3	рот 2	дверь 2	портфель 2	ранец 1	форточку 1	букварь 1	свою тетрадь 1	парту 1	учебники 1
44	овцу 24	траву 18	овец 15	газон 5	овечку 3	травку 3	козу 2	цветы 2	козочку 1	барана 1	барашка 1	мальчика 1	барашку 1	шерсть 1	волосы 1	ногти 1	овечек 1	ягненка 1	кусты 1
45	стихотворение 33	стихи 28	стих 4	стихотворения 4	стишок 3	поэму 3	пьесу 2	стихотворние 1	тексты 1	поэмы 1	вдохновение 1	французский 1	язык 1	Пушкина 1
46	еды 37	сладкого 12	ужина 4	пищи 4	хлеба 4	пирожного 3	торта 3	обеда 2	сладостей 2	жирного 2	пирожных 2	котлет 1	десерта 1	мучного 1	мороженого 1	роли 1	каши 1	сладкой пищи 1	плюшек 1	сахара 1	блинов 1
47	премию 70	гонорар 4	зарплату 2	премии 1	деньги 1	примии 1	премиальные 1	аванс 1	вознаграждение 1	денежное вознаграждение 1	награждение 1
48	лыжах 53	коньках 22	санках 5	санях 3	катке 1	велосипеде 1
49	море 40	реке 14	озере 13	речке 5	пруду 5	бассейне 3	пляже 1	парке 1	сапогах 1	пансионате 1	Серебряном бору 1	месте 1
50	повидлом 19	капустой 16	мясом 14	яблоками 6	малиной 4	изюмом 4	вареньем 4	грибами 3	творогом 3	повидлой 1	свеклой 1	маком 1	яблоком 1	луком 1	сыром 1	картошкой 1	морошкой 1	клубникой 1	грушей 1	морковкой 1	джемом 1	лимоном 1
51	ногу 48	руку 27	пальчик 3	шею 2	палец 2	ключицу 1	себе руку 1	лодыжку 1	желудок 1
52	соревнованиях 56	соревновании 9	олимпиаде 3	забеге 3	состязаниях 2	беге 2	состязании 1	спортакиаде 1	игре 1	финале 1	дальнейших соревнованиях 1	турнире 1	экспедиции 1	награждении 1	в следующем туре 1	спорте 1
53	музей 38	поход 8	лес 5	горы 4	зоопарк 4	город 4	кино 3	Москву 2	Суздаль 2	Карелию 1	Париж 1	Питер 1	галерею 1	Кремль 1	Нижний Новгород 1	Англию 1	замок 1	театр 1	иностранные государства 1	Ленинград 1	парк культуры 1	другой город 1	Пушкин 1	путешествие 1	деревню 1
54	ручку 12	ключи 11	папку 11	поднос 7	ключ 5	стакан 4	вазу 4	чашку 4	документы 2	чернильницу 2	документ 2	карандаш 2	кофе 2	бумаги 2	ложку 1	чайник 1	блокнот 1	стул 1	тетрадь 1	пресс-папье 1	журнал 1	чашку с кофе 1	микрофон 1	калькулятор 1	брошюру 1	телефон 1
55	ковер 63	пряжу 4	ткань 4	скатерть 3	холсты 2	ковры 2	коврик 1	полотно 1	половик 1	на станке 1	холст 1	палантин 1	дорожку 1	палас 1
56	урну 33	мусорное ведро 10	мусорный ящик 5	помойку 5	корзину 5	мусор 4	бак 4	мусорный бак 3	ведро 3	мусорку 3	ящик 2	окно 2	мусорницу 2	корзину мусорную 1	мусорную яму 1	унитаз 1	мусорную корзину 1	мусорник 1
57	ленту 42	бант 7	цветок 6	цветы 6	розу 3	венок 3	косу 3	ромашку 2	ленты 2	заколку 2	бусы 1	ленточку 1	банты 1	бантик 1	косичку 1	бантики 1
58	деньги 37	денег 13	соль 11	сто рублей 3	сахар 2	три рубля 2	соли 2	яйцо 1	пистолет 1	сто грамм спирта 1	муки 1	десять рублей 1	картошку 1	чай 1	кастрюлю 1	дуршлак 1	ножницы 1	спички 1
59	стул 66	диван 6	кресло 5	скамейку 3	табурет 1	краешек стула 1	стол 1	скамью 1	краешек 1	стульчик 1
60	ученика 57	учеников 10	ученицу 3	меня 2	студента 2	детей 1	школьницу 1	директора 1	мальчика 1	учащихся 1	девочку 1	учащегося 1	Васю 1
61	сок 62	компот 19	сироп 2	чай 1	крюшон 1	напиток 1
62	кофту 49	шаль 12	сплетню 2	прическу 2	косу 2	шапку 2	кофточку 2	одежду 1	жилетку 1	вышивку 1	шляпу 1	юбку 1	вещь 1	вязаную кофту 1	вязаную вещь 1	пряжу 1	ленту 1	вещи 1
63	пакет 44	стакан 23	стаканчик 3	поднос 2	кувшин 2	контейнер 2	мешок 2	ящик 1	графин 1	флакон 1	сосуд 1	кулек 1
64	ложку 67	миску 9	тарелку 3	кружку 2	чашку 1	плошку 1	кухню 1
65	носки 48	варежки 14	колготки 7	чулки 4	гольфы 4	носочки 3	перчатки 2	пальто 1	рейтузы 1	шарф 1	руковички 1
66	платок 46	плед 25	шарф 10	тулуп 2	шаль 1	свитер 1	кафтан 1
67	чашку 48	вазу 17	статуэтку 7	тарелку 4	кружку 2	миску 2	конфетницу 1	посуду 1	люстру 1	кастрюлю 1	чашу 1	куклу 1
68	иронией 20	улыбкой 16	усмешкой 15	обидой 12	досадой 4	грустью 4	ностальгией 2	ухмылкой 2	успешкой 1	неохотой 1	тоской 1	час 1	радостью 1
69	шерсти 75	пряжи 9	ткани 1
70	книгу 61	историю 5	книжку 4	повесть 4	статью 3	газету 3	сказку 1	брошюрку 1	литературу 1	пьесу 1
71	ящике 27	сундучке 13	сундуке 11	шкафу 10	ящичке 8	комоде 3	ларце 3	шкафчике 3	столе 2	пенале 1	дупле 1	сейфе 1	секретере 1	доме 1
72	игрушками 40	шарами 27	гирляндами 4	бусами 3	огнями 3	шариками 2	красками 1	флажками 1	картинками 1	фонариками 1	цветами 1	конфети 1	лампочками 1
73	скрипке 35	флейте 16	гитаре 12	виолончели 5	дудочке 3	арфе 3	трубе 2	балалайке 2	ложке 1	валторне 1	скрипкой 1	дудке 1	рояли 1	домре 1
74	учителя 39	преподавателя 17	сотрудника 13	педагога 10	специалиста 1	завуча 1	химика 1	сотрудницу 1	историка 1	тренера 1	секретаря 1
