№	Context	Dominant response	Number of completions	Ommitted completions or no completion	Number of unique responses	Alternative completions	Percentage of ending agreement %EA	H-statistic	Frequency (ipm)	Number of syllables
1	Отправитель наклеил на письмо	марку	84	2	5	марку 80, марки 1, две марки 1, — 1, штемпель 1	95.238095	0.371434	48.0	2
2	Кошки превосходно видят в	темноте	85	1	4	темноте 78, ночи 5, комнате 1, ночь 1	91.764706	0.505026	68.6	3
3	Перед сном бабушка выключила в комнате	свет	86	0	11	свет 66, телевизор 9, торшер 2, лампу 2, приемник 1, люстру 1, радио 1, радиоприемник 1, электричество 1, лампадку ? 1, темноту 1	76.744186	1.409296	359.7	1
4	Артисты поклонились и ушли за	кулисы	86	0	11	кулисы 66, занавес 7, сцену 4, ширму 2, зановесь 1, нет ответа 1, кулисами 1, как они называются, за кулисы 1, кулису 1, кулис 1, стол 1	76.744186	1.442759	15.0	3
5	Туристы спускались на байдарках по	реке	85	1	10	реке 71, горной реке 4, реке  2, склону 2, течению реки 1, речке 1, Оке 1, реке Кура 1, озеру 1, реке Волге 1	83.529412	1.131367	131.0	2
6	Проводник положил лимон и сахар в	стакан	86	0	7	стакан 41, чай 39, стакан чая 2, кружку 1, стакан с чайем 1, стакан, чай 1, чашку 1	47.674419	1.451959	72.8	2
7	Гости положили грязные тарелки в	раковину	86	0	10	раковину 38, мойку 26, посудомойку 11, посудомоечную машину 4, шкаф 2, умывальник 1, машину посудомоечную 1, рукомойник 1, стопку 1, мусор 1	44.186047	2.127585	13.9	4
8	Учитель написал пример мелом на	доске	86	0	3	доске 84, потолке 1, плитке 1	97.674419	0.182606	67.1	2
9	После ужина хозяйка помыла	посуду	85	1	7	посуду 78, кастрюлю 2, тарелки 1, пол 1, окно 1, ложку 1, полы 1	91.764706	0.618081	31.3	3
10	В избе старуха топила	печь	86	0	3	печь 73, печку 12, - 1	84.883721	0.671884	32.6	1
11	Моя маленькая сестрёнка увлекается лепкой из	пластилина	85	1	4	пластилина 33, глины 30, пластелина 21, - 1	38.823529	1.633975	2.2	4
12	Войдя в квартиру, жилец плотно закрыл	дверь	86	0	9	дверь 73, двери 3, ставни 3, окна 2, окно 1, плотно 1, шторку 1, входную дверь 1, замок 1	84.883721	1.038277	450.8	1
13	На новый год мы всегда украшаем	елку	86	0	8	елку 78, елочку 2, дом 1, квартиру 1, новогоднюю елку 1, комнату 1, игрушками 1, стол 1	90.697674	0.702295	22.3	2
14	Певица высушила волосы с помощью	фена	86	0	3	фена 84, духовки 1, утюга 1	97.674419	0.182606	2.0	2
15	Бегун завязал на ботинках 	шнурки	86	0	6	шнурки 76, шнурок 6, шнурочки 1, бантик 1, узел 1, кроссовки 1	88.372093	0.724494	7.5	2
16	Помолившись, старушка осторожно задула	свечу	86	0	7	свечу 66, свечку 14, лампаду 2, нет ответа 1, огонь 1, лампу 1, свет 1	76.744186	1.144486	31.6	2
17	Все гости дружно уселись за	стол	86	0	6	стол 72, столом 10, круглым столом 1, столы 1, обед 1, компьютер 1	83.720930	0.874475	402.5	1
18	Бабушка купила таблетки от головной боли в	аптеке	84	2	7	аптеке 78, лесу 1, нет ответа 1, каплях/аптеке 1, - 1, магазине 1, упаковке 1	92.857143	0.555873	15.1	3
19	Девочка гуляла по лужам и промочила	ноги	86	0	10	ноги 69, ножки 6, ботинки 3, туфли 2, обувь 1, живот 1, сапоги 1, сандалии 1, сандали 1, руки 1	80.232558	1.266348	459.2	2
20	В семь лет дети начинают ходить в	школу	86	0	4	школу 83, детский сад 1, кружок 1, детский сад, школу 1	96.511628	0.273610	316.0	2
21	Садовница поливает высохшее	дерево	84	2	13	дерево 41, растение 18, цветы 12, растения 3, деревце 2, - 1, деревья 1, яблоко 1, цветы, клумбу 1, цветы, дерево 1, кусты 1, поле 1, клумбы 1	48.809524	2.291214	171.9	3
22	Летом мальчик катался на двухколёсном	велосипеде	86	0	8	велосипеде 76, самокате 4, велосепеде 1, велолсипеде 1, влосипеде 1, дереве 1, тренажере 1, тракторе 1	88.372093	0.811817	23.1	5
23	Художник точил цветной	карандаш	85	1	4	карандаш 82, мелок 1, карндаш 1, металл 1	96.470588	0.276223	46.6	3
24	На стене висела картина в бронзовой	раме	86	0	8	раме 45, оправе 21, рамке 15, подставке 1, шкатулке 1, оправой 1, рамой 1, иллюстрацией 1	52.325581	1.798644	21.2	2
25	Выпускница надела босоножки на высоких 	каблуках	86	0	2	каблуках 85, шпильках 1	98.837209	0.091402	16.3	3
26	На экзамене студент допустил досадную	ошибку	86	0	6	ошибку 74, оплошность 7, описку 2, промашку 1, оговорку 1, оплошность ошибку 1	86.046512	0.831485	104.4	3
27	Начальник резко высказал своё	мнение	86	0	12	мнение 60, недовольство 8, неудовольствие 6, неодобрение 3, фе 2, - 1, негодование 1, неудовольствия 1, пожелание 1, отвращение 1, работникам 1, отношение 1	69.767442	1.767217	228.4	3
28	В новом семестре студенты приступили к изучению испанского	языка	86	0	4	языка 83, язвка 1, язяка 1, уха 1	96.511628	0.273610	324.9	3
29	Часто дети богатых родителей учатся в частных	школах	85	1	13	школах 65, колледжах 4, гимназиях 3, заведениях 3, университетах 2, учебных заведениях 1, пансионах 1, учреждениях 1, учереждениях 1, вузах 1, школах или эмм колледжах 1, коллеждах 1, пансионатах 1	76.470588	1.574524	316.0	2
30	Девочки хором пели весёлую	песню	85	1	3	песню 70, песенку 14, забавную песню 1	82.352941	0.734652	160.1	2
31	Именинник налил в стакан апельсиновый	сок	86	0	3	сок 84, отвар 1, напиток 1	97.674419	0.182606	35.8	1
32	Брат прислушался и услышал из соседней комнаты женский	голос	86	0	9	голос 44, крик 20, плач 9, смех 7,  голос 2, шепот 1, голосок 1, разговор 1, визг 1	51.162791	2.044470	424.5	2
33	Начинающий актёр мечтал сняться хотя бы в каком-нибудь	фильме	86	0	10	фильме 43, эпизоде 24, сериале 7, кино 6, фильмы 1, эпизодике 1, ролике 1, водевиле 1, кинофильме 1, клипе 1	50.000000	2.024756	196.8	2
34	Марина взяла пульт и выключила надоевший	телевизор	84	2	10	телевизор 61, сериал 6, фильм 6, компьютер 4, телефизор 2, магнитофон 1, телефон/телевизор 1, микрофон 1, теелвизор 1, канал 1	72.619048	1.597144	72.3	4
35	Сиделка сварила для больного куриный	бульон	86	0	4	бульон 70, суп 13, бульончик 2, суп, бульон 1	81.395349	0.854689	12.2	2
36	Моя двоюродная сестра учится на химическом	факультете	86	0	8	факультете 74, институте 4, отделении 3, ВУЗе 1, унивеситете 1, университете 1, техникуме 1, заводе 1	86.046512	0.934934	31.7	4
37	Невропатолог прописал мне успокоительные	таблетки	85	1	9	таблетки 46, лекарства 15, капли 13, пилюли 4, средства 3, микстуры 1, невесте 1, теблетки 1, настои 1	54.117647	2.014711	21.2	3
38	Жених подарил бриллиантовое кольцо своей	невесте	85	1	10	невесте 75, подруге 2, невевсте 1, будущей жене 1, возлюбленной 1, любимой 1, девушке 1, соседке 1, жене 1, капли 1	88.235294	0.889845	31.7	3
39	Сергей размешивал чай серебряной	ложкой	86	0	5	ложкой 66, ложечкой 16, вилкой 2, - 1, кружке 1	76.744186	1.020102	40.5	2
40	Житель дома решил написать мэру анонимное	письмо	85	1	6	письмо 77, послание 4, - 1, заявление 1, письмо, анонимку 1, пиьсмо 1	90.588235	0.638302	304.3	2
41	По утрам почтальон неспешно разносит	почту	86	0	5	почту 48, газеты 18, письма 13, корреспонденцию 5, прессу 2	55.813953	1.718681	27.2	2
42	Крестьянин вчера усердно полол	грядки	86	0	14	грядки 32, огород 19, грядку 10, траву 6, картошку 6, сорняки 3, морковь 2, морковку 2, клумбу 1, дно 1, снопы 1, капусту 1, лук 1, свой огород 1	37.209302	2.778540	8.1	2
43	В начале занятия ученик лениво открыл	книгу	86	0	16	книгу 21, тетрадь 20, учебник 17, дневник 9, книжку 4, тетрадку 2, дверь 2, рот 2, портфель 2, парту 1, букварь 1, тетрадку, книжку 1, ранец 1, свою тетрадь 1, форточку 1, учебники 1	24.418605	3.022853	413.9	2
44	На лугу пастушка неумело стригла	овцу	84	2	19	овцу 25, траву 18, овец 15, газон 5, овечку 3, травку 3, козу 2, цветы 2, барана 1, барашку 1, ягненка 1, козочку 1, кусты 1, мальчика 1, ногти 1, овечек 1, шерсть 1, волосы 1, барашка 1	29.761905	3.119962	17.5	2
45	Воспитанница с гувернанткой учили наизусть	стихотворение	85	1	16	стихотворение 33, стихи 28, стихотворения 4, стих 4, поэму 3, стишок 2, пьесу 2, - 1, стошок 1, поэмы 1, язык 1, вдохновение 1, тексты 1, пушкина 1, стихотворние 1, французский 1	38.823529	2.576146	48.7	6
46	Актриса мечтает похудеть и отказывается от	еды	85	1	24	еды 37, сладкого 11, ужина 4, пищи 4, хлеба 4, торта 3, пирожного 3, обеда 2, жирного 2, пирожных 1, десерта 1, роли 1, сахара 1, каши 1, мучного 1, пироженых 1, сладостей 1, плюшек 1, блинов 1, сладкой пищи 1, слодостей 1, стадкого 1, мороженого 1, котлет 1	43.529412	3.252764	56.9	2
47	За старательную работу директор выплатил сотрудникам	премию	84	2	12	премию 69, гонорар 4, зарплату 2, аванс 1, примии 1, деньги 1, премии 1, награждение 1, премиальные 1, денежное вознаграждение 1, вознаграждение 1, пряемию 1	82.142857	1.255553	56.2	3
48	Сосед любит зимой кататься на	лыжах	86	0	6	лыжах 53, коньках 22, санках 6, санях 3, катке 1, велосипеде 1	61.627907	1.519847	18.3	2
49	Отдыхающие загорали и купались в	море	86	0	14	море 39, озере 13, реке 13, речке 5, пруду 5, бассейне 3, месте 1, пансионате 1, пляже 1, сапогах 1, реке  1, парке 1, 0223 1, серебряном бору 1	45.348837	2.585378	159.5	2
50	Бабушка испекла вкусные пирожки с 	повидлом	86	0	23	повидлом 18, капустой 16, мясом 14, яблоками 6, малиной 4, изюмом 4, вареньем 4, грибами 3, творогом 3, грушей 1, яблоком 1, джемом 1, морковкой 1, лимоном 1, клубникой 1, маком 1, свеклой 1, павидлом 1, морошкой 1, луком 1, сыром, капустой 1, картошкой 1, повидлой 1	20.930233	3.619507	1.9	3
51	Играя в футбол, мальчик упал и сломал	ногу	86	0	9	ногу 48, руку 27, пальчик 3, шею 2, палец 2, ключицу 1, лодыжку 1, желудок 1, себе руку 1	55.813953	1.714462	459.2	2
52	Спортсмен получил травму и не принял участие в	соревнованиях	85	1	18	соревнованиях 55, соревновании 8, забеге 3, олимпиаде 3, беге 2, состязаниях 2, спорте 1, состязании 1, сорвенованиях 1, дальнейших соревнованиях 1, экспедиции 1, в следующем туре 1, финале 1, спортакиаде 1, награждении 1, турнире 1, соревнование 1, игре 1	64.705882	2.227220	32.7	6
53	Класс отправился с экскурсией в	музей	86	0	25	музей 38, поход 8, лес 5, горы 4, город 4, зоопарк 4, кино 3, Москву 2, Суздаль 2, другой город 1, иностранные государства 1, Париж 1, замок 1, Кремль 1, путешествие 1, парк культуры 1, театр 1, деревню 1, Англию 1, карелию 1, Питер 1, ленинград 1, пушкин 1, Нижний новгород 1, галерею 1	44.186047	3.312477	87.0	2
54	Открывая дверь, секретарша случайно уронила	ручку	84	2	28	ручку 12, папку 11, ключи 11, поднос 7, ключ 5, вазу 4, чашку 4, стакан 4, кофе 2, бумаги 2, документы 2, чернильницу 2, карандаш 2, документ 2, - 1, чайник 1, блокнот 1, тетрадь 1, стул 1, калькулятор 1, брошюру 1, пресс-папье 1, чашку с кофе 1, телефон 1, _ (ответ потерян) 1, микрофон 1, журнал 1, ложку 1	14.285714	4.173411	57.6	2
55	В доме узбечка монотонно ткала	ковер	86	0	14	ковер 63, пряжу 4, ткань 4, скатерть 3, ковры 2, холсты 2, дорожку 1, половик 1, на станке 1, полотно 1, палантин 1, коврик 1, палас 1, холст 1	73.255814	1.759712	29.5	2
56	Дворник выбросил обёртку в	урну	86	0	18	урну 33, мусорное ведро 10, мусорный ящик 5, корзину 5, помойку 5, бак 4, мусор 4, мусорку 3, мусорный бак 3, ведро 3, окно 2, ящик 2, мусорницу 2, унитаз 1, муорную яму 1, мусорник 1, мусорную корзину 1, корзину мусорную 1	38.372093	3.277685	7.8	2
