№	Context	Dominant response	Number of completions	Ommitted completions or no completion	Number of unique responses	Alternative completions	Percentage of ending agreement %EA	H-statistic	Frequency (ipm)	Number of syllables
1	Отправитель наклеил на письмо	марку	164	2	7	марку 155, марки 4, две марки 1, штамп 1, почтовую, марку 1, штемпель 1, почтовые марки 1	94.512195	0.431947	48.0	2
2	Кошки превосходно видят в	темноте	166	0	6	темноте 154, ночи 8, темонте 1, штанах 1, комнате 1, ночь 1	92.771084	0.488984	68.6	3
3	Перед сном бабушка выключила в комнате	свет	166	0	17	свет 133, телевизор 11, светильник 3, лампу 3, ночник 2, утюг 2, торшер 2, лампадку ? 1, музыку 1, радио 1, люстру 1, радиоприёмник 1, обогреватель 1, темноту 1, электричество 1, приемник 1, телефизор 1	80.120482	1.399641	359.7	1
4	Артисты поклонились и ушли за	кулисы	166	0	18	кулисы 125, сцену 13, занавес 11, пивом 2, ширму 2, актером 1, дверь 1, cцену 1, рамки 1, кулис 1, стол 1, дом 1, кулису 1, как они называются, за кулисы 1, кулисами 1, зановесь 1, нет ответа 1, навес 1	75.301205	1.586591	15.0	3
5	Туристы спускались на байдарках по	реке	165	1	16	реке 133, речке 5, склону 5, горной реке 5, Волге 2, реке  2, озеру 2, порогам 2, течению 2, течению реки 1, реке Волге 1, реке Кура 1, Оке 1, сплаву 1, каналу 1, водопаду 1	80.606061	1.407647	131.0	2
6	Проводник положил лимон и сахар в	чай	166	0	16	чай 77, стакан 60, чашку 10, кружку 5, кофе 2, стакан чая 2, бокал 1, стакан с чайем 1, вот в эту выемку между полочками, где полотенца складываешь на ночь 1, столешницу 1, стаканчик 1, шкафу 1, - 1, тарелку 1, чашечку 1, стакан, чай 1	46.385542	2.038986	106.8	1
7	Гости положили грязные тарелки в	раковину	166	0	13	раковину 92, мойку 33, посудомойку 23, посудомоечную машину 6, шкаф 3, поднос 2, стопку 1, мусор 1, машину посудомоечную 1, рукомойник 1, машину 1, деньги 1, умывальник 1	55.421687	1.995887	13.9	4
8	Учитель написал пример мелом на	доске	165	1	5	доске 161, стене 1, окне 1, плитке 1, потолке 1	97.575758	0.213125	67.1	2
9	После ужина хозяйка помыла	посуду	164	2	18	посуду 131, пол 7, тарелки 5, полы 3, стол 3, кастрюлю 2, окно 2, ванную 1, - 1, NR 1, раму 1, шторы 1, ложку 1, тарелку 1, ребенка 1, цветы 1, руки 1, окна 1	79.878049	1.466398	31.3	3
10	В избе старуха топила	печь	166	0	9	печь 139, печку 18, баню 3, масло 1, соседей 1, - 1, котят 1, лёд 1, избу 1	83.734940	0.933194	32.6	1
