№	Context	ART	min RT	max RT	stdev RT	ART'	min ART'	max ART'	stdev ART'
95	Выходя из дома, я забыла взять 	1713.247059	746.000000	5172.000000	758.478237	1578.011765	442.000000	5172.000000	793.539261
96	Директор ещё не вернулся из	1321.953488	496.000000	5564.000000	741.961405	1152.534884	143.000000	5564.000000	738.948979
97	В этом кафе студент всегда заказывал	1895.523256	1026.000000	3912.000000	514.472150	1785.558140	675.000000	3115.000000	530.736084
98	Графиня хранила драгоценности в 	1589.211765	534.000000	8766.000000	1142.264961	1366.105882	96.000000	8766.000000	1122.354954
99	На праздник мама подарила сыну	2098.858824	852.000000	5090.000000	766.039554	1982.811765	732.000000	4542.000000	773.346646
100	Художник изобразил на картине	2248.566265	1091.000000	5903.000000	700.688741	2113.722892	988.000000	5903.000000	730.747301
101	Мы вернулись в кафе и забрали забытый	2116.388235	1073.000000	5533.000000	910.228073	1959.211765	502.000000	4832.000000	930.224270
102	Наместник императора прославился своей	2359.976190	933.000000	6975.000000	1280.033668	2152.928571	453.000000	6975.000000	1343.184382
103	Туристы восхищались живописной	2348.036145	1218.000000	7053.000000	1094.921686	2162.000000	626.000000	7053.000000	1147.676539
104	Девушка надела бордовые	2270.744186	1127.000000	5944.000000	1013.825686	2142.197674	793.000000	5739.000000	1023.195304
105	Дошкольник взял фломастер и нарисовал оранжевый	2093.302326	1011.000000	4641.000000	699.513160	1925.034884	711.000000	4641.000000	755.572996
106	Сестра волновалась перед важным	1505.047059	794.000000	4287.000000	626.417819	1422.847059	468.000000	4287.000000	664.296343
107	Из шкафа мама достала старую	2133.779070	1096.000000	7884.000000	977.731509	2014.697674	663.000000	7884.000000	990.876772
108	Вернувшись в офис после отпуска, секретарша заметила новый	2479.023256	1034.000000	8066.000000	1221.993164	2323.069767	541.000000	8066.000000	1242.854909
109	На кухне дочка доедает вкусный	1642.546512	951.000000	3343.000000	477.069921	1485.127907	557.000000	3343.000000	510.987551
110	Прохожие еле разминулись на узкой	1620.232558	900.000000	3121.000000	462.182920	1450.581395	526.000000	3121.000000	540.027025
111	В киоске продавались сувениры из светло-серой	3185.761905	1458.000000	9440.000000	1392.235756	3026.678571	1045.000000	9166.000000	1403.295237
112	Ассистент обратился за помощью к своей	2534.058824	1155.000000	7613.000000	1293.484371	2343.717647	680.000000	7613.000000	1334.945813
113	Лектор увлечённо рассказывал о недавнем	2111.505882	1110.000000	4546.000000	760.998070	1956.705882	558.000000	4281.000000	812.699423
114	Андрей устал нести тяжёлый	1772.686747	483.000000	7303.000000	926.751446	1650.843373	28.000000	7303.000000	929.536306
115	Грабители украли из квартиры ценный	2729.071429	986.000000	12173.000000	1834.774224	2603.619048	544.000000	12173.000000	1848.545067
116	Моя крестница живёт прямо напротив местного	2695.059524	1080.000000	9633.000000	1696.133891	2604.523810	608.000000	9633.000000	1728.553832
117	Ирина зашла на вещевой рынок и купила недорогую	2386.093023	1267.000000	7334.000000	1163.659225	2224.674419	598.000000	7016.000000	1194.927529
118	Парижанин с гостьей гуляли по окрестным	2518.729412	433.000000	6768.000000	1131.397423	2366.258824	433.000000	6768.000000	1039.651431
119	Анна обожала посещать субботние	2330.258824	1111.000000	6588.000000	979.755037	2179.035294	798.000000	6348.000000	986.008843
120	Всю жизнь дедушка собирал антикварные	2616.151163	1198.000000	7520.000000	1238.599727	2511.965116	880.000000	7520.000000	1211.486549
