№	Context	ART	min RT	max RT	stdev RT	ART'	min ART'	max ART'	stdev ART'
57	Девушка вплела в волосы	2559.481481	758.000000	15306.000000	1696.316289	2381.876543	234.000000	15306.000000	1707.791032
58	Соседка одолжила у меня	2436.358025	1187.000000	9420.000000	1328.301465	2128.876543	107.000000	7442.000000	1111.937255
59	Посетитель вошёл и робко сел на	1460.569767	588.000000	4150.000000	700.946512	1371.383721	180.000000	4150.000000	754.105722
60	Учитель искренне похвалил	2333.865854	1200.000000	7447.000000	981.074049	2139.097561	728.000000	7172.000000	1048.458876
61	После обеда Ваня допил вишнёвый	1966.129412	753.000000	8380.000000	890.461969	1846.176471	753.000000	8380.000000	933.626521
62	Тётушка распускала старомодную	2990.256098	1526.000000	7469.000000	1178.749576	2805.487805	782.000000	7094.000000	1221.577903
63	Продавец доверху наполнил пластиковый	2568.590361	764.000000	6910.000000	1247.566148	2390.240964	719.000000	6910.000000	1334.600503
64	После еды сержант облизал походную	2367.702381	321.000000	7700.000000	1154.956211	2178.976190	321.000000	6282.000000	1018.031646
65	Перед выходом девочка надела шерстяные	2436.918605	1223.000000	12415.000000	1405.831286	2314.872093	731.000000	12415.000000	1445.846398
66	Бабушка замёрзла и закуталась в тёплый	2002.279070	862.000000	6542.000000	906.450332	1688.976744	345.000000	6542.000000	910.329442
67	Сестра купила в посудном магазине фарфоровую	2351.329412	1172.000000	7345.000000	923.444734	2125.223529	772.000000	7345.000000	997.192659
68	Бывшие коллеги вспоминают друг друга с горькой	3390.271605	223.000000	11345.000000	2146.160857	3207.753086	223.000000	11345.000000	2138.008463
69	Маша связала свитер из тёплой	2154.904762	997.000000	9643.000000	1201.893412	2040.059524	632.000000	9643.000000	1234.155400
70	В пути пассажир читал увлекательную	2209.178571	69.000000	5578.000000	779.173692	2103.119048	69.000000	5578.000000	818.977858
71	Графиня прятала записку в деревянном	3159.511905	1236.000000	9416.000000	1603.008192	2762.904762	-6729.000000	9416.000000	2074.637048
72	Первоклассник украшал ёлку яркими	2104.872093	1156.000000	4785.000000	634.651841	1950.395349	765.000000	4729.000000	673.849683
