№	Context	Dominant response	Number of completions	Ommitted completions or no completion	Number of unique responses	Alternative completions	Percentage of ending agreement %EA	H-statistic	Frequency (ipm)	Number of syllables
1	Отправитель наклеил на письмо	марку	86	0	5	марку 80, марки 3, почтовые марки 1, штамп 1, почтовую, марку 1	93.023256	0.490112	48.0	2
2	Кошки превосходно видят в	темноте	86	0	4	темноте 81, ночи 3, темонте 1, штанах 1	94.186047	0.399721	68.6	3
3	Перед сном бабушка выключила в комнате	свет	86	0	9	свет 71, светильник 3, телевизор 3, утюг 2, ночник 2, лампу 2, телефизор 1, музыку 1, обогреватель 1	82.558140	1.168802	359.7	1
4	Артисты поклонились и ушли за	кулисы	86	0	9	кулисы 65, сцену 10, занавес 4, пивом 2, дом 1, дверь 1, актером 1, рамки 1, навес 1	75.581395	1.371925	15.0	3
5	Туристы спускались на байдарках по	реке	86	0	12	реке 67, склону 3, речке 3, горной реке 2, Волге 2, порогам 2, течению 2, каналу 1, горной реке  1, водопаду 1, сплаву 1, озеру 1	77.906977	1.496756	131.0	2
6	Проводник положил лимон и сахар в	чай	86	0	12	чай 43, стакан 20, чашку 9, кружку 4, кофе 3, - 1, столешницу 1, шкафу 1, вот в эту выемку между полочками, где полотенца складываешь на ночь 1, бокал 1, чашечку 1, стаканчик 1	50.000000	2.227984	106.8	1
7	Гости положили грязные тарелки в	раковину	86	0	8	раковину 60, посудомойку 11, мойку 8, посудомоечную машину 2, шкаф 2, машину 1, деньги 1, поднос 1	69.767442	1.537111	13.9	4
8	Учитель написал пример мелом на	доске	85	1	2	доске 84, окне 1	98.823529	0.092277	67.1	2
9	После ужина хозяйка помыла	посуду	85	1	15	посуду 61, пол 6, тарелки 4, стол 3, тарелку 1, ванную 1, раму 1, ребенка 1, окна 1, шторы 1, окно 1, NR 1, полы 1, цветы 1, руки 1	71.764706	1.820689	31.3	3
10	В избе старуха топила	печь	86	0	8	печь 72, печку 6, баню 3, лед 1, котят 1, масло 1, соседей 1, избу 1	83.720930	1.025111	32.6	1
11	Моя маленькая сестрёнка увлекается лепкой из	глины	86	0	9	глины 59, пластилина 13, пластелина 8, пельменей 1, песка 1, теста 1, капусты 1, стол 1, полимерной глины 1	68.604651	1.552059	18.4	2
12	Войдя в квартиру, жилец плотно закрыл	дверь	86	0	8	дверь 73, окна 4, шторы 3, окно 2, занавески 1, рот 1, слив 1, двери 1	84.883721	1.000543	450.8	1
13	На новый год мы всегда украшаем	елку	85	1	12	елку 60, дом 9, квартиру 4, комнату 3, ель 2, стол 1, хату 1, баню 1, двери 1, дверь 1, зал 1, 819 1	70.588235	1.730595	22.3	2
14	Певица высушила волосы с помощью	фена	86	0	4	фена 79, полотенца 5, ветра 1, сушилки 1	91.860465	0.500587	2.0	2
15	Бегун завязал на ботинках 	шнурки	86	0	8	шнурки 77, бантик 2, узел 2, банты 1, узлы 1, шнурочки 1, бантики 1, шнуровку 1	89.534884	0.768793	7.5	2
16	Помолившись, старушка осторожно задула	свечу	86	0	9	свечу 50, свечи 20, свечку 8, свечки 3, - 1, кадило 1, лампаду 1, свечь 1, лучину 1	58.139535	1.805494	31.6	2
17	Все гости дружно уселись за	стол	86	0	3	стол 81, столом 4, столы 1	94.186047	0.361987	402.5	1
18	Бабушка купила таблетки от головной боли в	аптеке	85	1	6	аптеке 77, магазине 4, спине 1, 12 вечера 1, пятницу 1, апетке 1	90.588235	0.638302	15.1	3
19	Девочка гуляла по лужам и промочила	ноги	86	0	14	ноги 55, ботинки 9, носки 5, сапоги 4, обувь 3, сандали 2, босоножки 1, колготки 1, сапожки 1, кроссовки 1, шорты 1, вещи 1, ножки 1, туфли 1	63.953488	2.090583	459.2	2
20	В семь лет дети начинают ходить в	школу	86	0	8	школу 73, сад 5, детский сад 3, туалет 1, колготках 1, ясли 1, тапочках 1, садик, школу 1	84.883721	0.981826	316.0	2
21	Садовница поливает высохшее	растение	85	1	7	дерево 38, растение 38, растения 3, цветы 3, растениие 1, кусты 1, деревья 1	44.705882	1.605247	94.4	4
22	Летом мальчик катался на двухколёсном	велосипеде	86	0	4	велосипеде 83, самокате 1, мопеде 1, ягуаре 1	96.511628	0.273610	23.1	5
23	Художник точил цветной	карандаш	86	0	4	карандаш 81, нож 3, карандашик 1, метал 1	94.186047	0.399721	46.6	3
24	На стене висела картина в бронзовой	раме	85	1	8	раме 52, рамке 16, оправе 11, окантовке 2, рамкой 1, ладно, рамке, но там слово какое-то есть для этого правильное  1, - 1, головой 1	61.176471	1.697901	21.2	2
25	Выпускница надела босоножки на высоких 	каблуках	86	0	6	каблуках 78, шпильках 4, ботфортах 1, кабулуках 1, платформах 1, лабутенах 1	90.697674	0.632528	16.3	3
26	На экзамене студент допустил досадную	ошибку	85	1	4	ошибку 79, оплошность 4, описку 1, помарку 1	92.941176	0.456465	104.4	3
27	Начальник резко высказал своё	мнение	86	0	10	мнение 52, недовольство 18, негодование 7, неодобрение 2, недоумение 2, презрение 1, отношение 1, неудовольствие 1, возмущение 1, предложение 1	60.465116	1.831695	228.4	3
28	В новом семестре студенты приступили к изучению испанского	языка	86	0	4	языка 83, барокко 1, алфавита 1, яязыка 1	96.511628	0.273610	324.9	3
29	Часто дети богатых родителей учатся в частных	школах	86	0	13	школах 68, заведениях 4, колледжах 2, пансионах 2, гимназиях 2, актерских 1, домах 1, институтах 1, пансионатах 1, учереждениях 1, вузах 1, учебных заведениях 1, университетах 1	79.069767	1.450131	316.0	2
30	Девочки хором пели весёлую	песню	86	0	6	песню 70, песенку 9, частушку 3, мелодию 2, песнь 1, колыбельную 1	81.395349	1.027032	160.1	2
31	Именинник налил в стакан апельсиновый	сок	86	0	5	сок 80, фреш 2, ликер 2, грок 1, чай 1	93.023256	0.498890	35.8	1
32	Брат прислушался и услышал из соседней комнаты женский	голос	85	1	11	голос 37, крик 16, смех 10, плач 7, стон 6, вопль 3, визг 2, шопот 1, оргазмический звук 1, хохот 1, вздох 1	43.529412	2.504859	424.5	2
33	Начинающий актёр мечтал сняться хотя бы в каком-нибудь	фильме	86	0	13	фильме 41, сериале 25, кино 5, эпизоде 3, порно 2, боевике 2, спектакле 2, - 1, рекламном ролике 1, трейлере 1, порнофильме 1, ток-шоу 1, клипе 1	47.674419	2.262072	196.8	2
34	Марина взяла пульт и выключила надоевший	телевизор	86	0	10	телевизор 65, канал 8, сериал 5, фильм 2, радиоприемник 1, телефизор 1, первый канал 1, Первый канал 1, видеомагнитофон 1, телесериал 1	75.581395	1.437154	72.3	4
35	Сиделка сварила для больного куриный	бульон	86	0	4	бульон 60, суп 24, суп/бульон 1, гуляш 1	69.767442	1.025654	12.2	2
36	Моя двоюродная сестра учится на химическом	факультете	86	0	8	факультете 79, классе 1, на бухгалтера 1, колледже 1, фаультете 1, отделении 1, университете 1, профиле 1	91.860465	0.635582	31.7	4
37	Невропатолог прописал мне успокоительные	таблетки	85	1	13	таблетки 51, лекарства 11, капли 5, препараты 4, средства 4, пилюли 2, таблеточки 2, средство 1, медикаменты 1, антидепрессанты 1, развлечения 1, - 1, на дом 1	60.000000	2.186366	21.2	3
38	Жених подарил бриллиантовое кольцо своей	невесте	86	0	11	невесте 67, возлюбленной 7, жене 4, маме 1, избраннице 1, знакомой 1, невестке 1, любовнице 1, любимой 1, девушке 1, бухгалтерше 1	77.906977	1.378829	31.7	3
39	Сергей размешивал чай серебряной	ложкой	86	0	3	ложкой 72, ложечкой 11, вилкой 3	83.720930	0.762971	40.5	2
40	Житель дома решил написать мэру анонимное	письмо	86	0	6	письмо 61, послание 11, обращение 8, сообщение 4, признание 1, анонимное 1	70.930233	1.405001	304.3	2
41	По утрам почтальон неспешно разносит	почту	86	0	16	почту 36, письма 18, газеты 14, корреспонденцию 4, газету 3, магазин 1, журналы, газеты 1, журналы 1, открытки 1, кабину 1, утреннюю корреспонденцию 1, конверты 1, объявления 1, вести 1, бумаги 1, прессу 1	41.860465	2.621220	27.2	2
42	Крестьянин вчера усердно полол	грядки	86	0	23	грядки 35, грядку 11, огород 8, морковь 5, траву 5, поле 4, капусту 2, полынь 1, градки 1, овес 1, сорники 1, картошку 1, кулбнику 1, газон 1, сорняк 1, сныть 1, пшеницу 1, землю 1, растения 1, дрова 1, брюкву 1, морковку 1, рядиску 1	40.697674	3.230940	8.1	2
43	В начале занятия ученик лениво открыл	тетрадь	86	0	15	тетрадь 31, учебник 22, дверь 9, книгу 9, дневник 3, глаза 2, портфель 2, пенал 1, бутылку 1, ранец 1, рот 1, тетрадку 1, рукопись 1, журнал 1, форточку 1	36.046512	2.734391	23.5	2
44	На лугу пастушка неумело стригла	овец	86	0	16	овец 40, газон 12, траву 11, овцу 7, козу 4, коз 2, барана 1, барашков 1, овечку 1, пастуха 1, барашка 1, кусты 1, ногти 1, обед 1, конец 1, волосы 1	46.511628	2.663452	17.5	2
45	Воспитанница с гувернанткой учили наизусть	стихотворение	86	0	16	стихотворение 35, стихи 28, стих 4, Пушкина 4, поэму 3, французский 2, немецкий; стихи 1, язык 1, алфавит 1, математику 1, стихотворения 1, танец 1, стихотверения 1, песнь о горевати 1, поэзию 1, стихотворние 1	40.697674	2.508989	48.7	6
46	Актриса мечтает похудеть и отказывается от	сладкого	86	0	32	сладкого 22, еды 20, мучного 7, пищи 4, пирожных 3, жирного 3, тортиков 2, - 1, булки 1, ужина 1, жирной/жирного 1, хлеба 1, работы 1, шоколадок 1, пироженых 1, мучной пищи 1, булочек 1, сталдкого 1, мяса 1, свинины 1, жирной пищи 1, сахара 1, сиропа 1, приема пищи 1, слодкого 1, соленого 1, мороженного 1, теста 1, мороженого 1, всего 1, завтрака 1, жареного 1	25.581395	3.825017	38.4	3
47	За старательную работу директор выплатил сотрудникам	премию	86	0	13	премию 60, премии 9, пенсию 3, компенсацию 3, премиальные 2, бонус 2, аванс 1, прибавку 1, деньги 1, зарплату 1, ничего 1, деньги/премию 1, гонорар 1	69.767442	1.816352	56.2	3
48	Сосед любит зимой кататься на	лыжах	86	0	16	лыжах 29, коньках 24, санках 16, велосипеде 3, сноуборде 2, роликах 2, скутере 1, машине 1, санях 1, карусели 1, квадрацикле 1, качелях 1, аптеке 1, жене 1, снегоходе 1, ледянке 1	33.720930	2.662597	18.3	2
49	Отдыхающие загорали и купались в	море	86	0	17	море 41, озере 15, реке 6, речке 5, пруду 4, океане 3, бассейне 2, Азовском, море 1, Черном море 1, ванной 1, Турции 1, луже 1, санатории 1, Крыму 1, плавках 1, парке 1, — 1	47.674419	2.703738	159.5	2
50	Бабушка испекла вкусные пирожки с 	капустой	86	0	30	капустой 16, вишней 11, яблоком 8, мясом 8, повидлом 6, картошкой 6, изюмом 4, малиной 3, вареньем 2, яблоками 2, яйцом 1, маслом 1, монетками 1, ватрушкой 1, малиновым вареньем 1, джемом 1, ягодами 1, тыквой 1, корицей 1, таворогом 1, земляникой 1, павидлом 1, голубикой 1, грибами 1, яйцом, и, луком 1, рисом 1, творогом 1, медом 1, курицей 1, черникой 1	18.604651	4.125937	21.7	3
51	Играя в футбол, мальчик упал и сломал	ногу	86	0	14	ногу 48, руку 19, нос 5, колено 2, палец 2, ключицу 2, игрушку 1, ребро 1, позвоночник 1, челюсть 1, запястье 1, шею 1, лодыжку 1, руки 1	55.813953	2.165818	459.2	2
52	Спортсмен получил травму и не принял участие в	соревнованиях	86	0	18	соревнованиях 53, олимпиаде 9, соревновании 5, матче 3, состязании 2, забеге 2, соревнавании 1, гонке 1, сроревнованиях 1, отпуске 1, шпионаже 1, совревнованиях 1, играх 1, афтепати 1, Олимпийских играх 1, банкете 1, марафоне 1, чемпионате 1	61.627907	2.327734	32.7	6
53	Класс отправился с экскурсией в	музей	86	0	45	музей 32, Москву 4, зоопарк 4, поход 3, планетарий 2, театр 2, другой город 1, Казань 1, Париж 1, Ростов-на-Дону 1, америку 1, Кисловодск 1, шоколадную фабрику 1, Каргополь 1, м/другой город 1, дом отдыха 1, Тарханы 1, Карелию 1, кремль 1, Крым 1, петергоф 1, санаторий 1, Константинополь 1, новгород 1, Польшу 1, лес 1, Минск 1, Японию 1, горы 1, Тибет 1, ресторан 1, Кремль 1, Монино 1, школу 1, Санкт-петербург 1, университет 1, море 1, магадан 1, москву 1, сад 1, пещеру 1, петербург 1, пригород 1, Палеонтологический музей 1, Эстонию 1	37.209302	4.277952	87.0	2
54	Открывая дверь, секретарша случайно уронила	ручку	86	0	30	вазу 10, ручку 10, бумаги 7, ключи 7, кофе 6, стул 5, поднос 5, чашку 3, цветок 3, папки 3, стакан 3, кружку 2, папку 2, пресс-папье 2, чай 2, ключ 2, чайник 1, кольцо 1, посуду 1, деньги 1, дверь 1, шкаф 1, почту 1, документы 1, лажа??? 1, принтер 1, степлер 1, картину 1, презервативы 1, компьютер 1	11.627907	4.408938	57.6	2
55	В доме узбечка монотонно ткала	ковер	86	0	22	ковер 39, полотно 9, пряжу 5, ткань 4, одежду 3, платье 3, платок 3, - 2, шарф 2, холст 2, шаль 2, плед 2, скатерть 1, вещи 1, ковры 1, шерсть 1, паранжу 1, полотенце 1, рушник 1, одеяло 1, халат 1, рубашку 1	45.348837	3.187494	29.5	2
56	Дворник выбросил обёртку в	урну	85	1	18	урну 32, мусорку 23, мусор 8, мусорный бак 5, мусорное ведро 3, ведро 2, окно 1, мусорный 1, мусорный ящик 1, мусоропровод 1, ящик 1, мусорник 1, мешок 1, корзину 1, помойку 1, унитаз 1, контейнер 1, полке 1	37.647059	2.804609	7.8	2
57	Девушка вплела в волосы	ленту	84	2	21	ленту 27, цветок 14, цветы 11, ленты 6, ленточку 4, заколку 3, венок 2, косу 2, резинку 2, ленточки 2, солому 1, ромашку 1, бантики 1, пряди 1, нитки 1, косичку 1, бусы 1, фен 1, тесьму 1, чудой локон 1, змею 1	32.142857	3.344659	35.9	2
58	Соседка одолжила у меня	соль	86	0	31	соль 31, деньги 14, денег 7, сахар 4, телефон 2, ключи 2, фен 2, муку 1, кофточку 1, блокнот 1, сигареты 1, пенал 1, шприц 1, стул 1, фен  1, фломастер 1, кастрюлю 1, градусник 1, биту 1, платье 1, электрочайник 1, рубль 1, марки 1, часы 1, сто рублей 1, нож 1, соли 1, кружку 1, карандаш 1, зубную пасту 1, велосипед 1	36.046512	3.629352	39.4	1
59	Посетитель вошёл и робко сел на	стул	86	0	14	стул 49, диван 13, скамейку 6, кресло 3, кушетку 3, банкетку 2, краешек стула 2, табурет 2, - 1, колени 1, стол 1, лавочку 1, лестнице 1, подоконник 1	56.976744	2.307125	87.6	1
60	Учитель искренне похвалил	ученика	86	0	23	ученика 46, ученицу 6, учеников 4, студента 4, меня 4, работу 4, - 2, за хорошую работу 1, своего ассистента 1, Васю 1, воспитанника 1, школьника 1, маму ученика 1, подчиненную 1, своего ученика 1, студентку 1, другого 1, жену 1, Валеру 1, себя 1, маму 1, хулигана 1, мальчика 1	53.488372	2.896106	80.4	4
